Name,Miles per Gallon,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,Brand
Ford Escort 4W,34.4,4,98,65,2045,16.2,1982,USA,Ford
Ford Escort 2H,29.9,4,98,65,2380,20.7,1982,USA,Ford
Volkswagen Jetta,33,4,105,74,2190,14.2,1982,Europe,Volkswagen
Renault 18I,34.5,4,100,,2320,15.8,1982,Europe,Renault
Honda Prelude,33.7,4,107,75,2210,14.4,1982,Japan,Honda
Datsun 200Sx,32.9,4,119,100,2615,14.8,1982,Japan,Datsun
Mazda 626 (1982),31.6,4,120,74,2635,18.3,1982,Japan,Mazda
Peugeot 505S Turbo Diesel,28.1,4,141,80,3230,20.4,1982,Europe,Peugeot
Saab 900S,,4,121,110,2800,15.4,1982,Europe,Saab
Volvo Diesel,30.7,6,145,76,3160,19.6,1982,Europe,Volvo
Toyota Cressida,25.4,6,168,116,2900,12.6,1982,Japan,Toyota
Datsun 810 Maxima,24.2,6,146,120,2930,13.8,1982,Japan,Datsun
Buick Century (1982),22.4,6,231,110,3415,15.8,1982,USA,Buick
Oldsmobile Cutlass Ls,26.6,8,350,105,3725,19,1982,USA,Oldsmobile
Ford Granada Gl,20.2,6,200,88,3060,17.1,1982,USA,Ford
Chrysler Lebaron Salon,17.6,6,225,85,3465,16.6,1982,USA,Chrysler
Chevrolet Cavalier,28,4,112,88,2605,19.6,1982,USA,Chevrolet
Chevrolet Cavalier Wagon,27,4,112,88,2640,18.6,1982,USA,Chevrolet
Chevrolet Cavalier 2-Door,34,4,112,88,2395,18,1982,USA,Chevrolet
Pontiac J2000 Se Hatchback,31,4,112,85,2575,16.2,1982,USA,Pontiac
Dodge Aries Se,29,4,135,84,2525,16,1982,USA,Dodge
Pontiac Phoenix (1982),27,4,151,90,2735,18,1982,USA,Pontiac
Ford Fairmont Futura,24,4,140,92,2865,16.4,1982,USA,Ford
Amc Concord Dl,23,4,151,,3035,20.5,1982,USA,Amc
Volkswagen Rabbit L,36,4,105,74,1980,15.3,1982,Europe,Volkswagen
Mazda Glc Custom L,37,4,91,68,2025,18.2,1982,Japan,Mazda
Mazda Glc Custom,31,4,91,68,1970,17.6,1982,Japan,Mazda
Plymouth Horizon Miser,38,4,105,63,2125,14.7,1982,USA,Plymouth
Mercury Lynx L,36,4,98,70,2125,17.3,1982,USA,Mercury
Nissan Stanza Xe,36,4,120,88,2160,14.5,1982,Japan,Nissan
Honda Accelerationord (1982),36,4,107,75,2205,14.5,1982,Japan,Honda
Toyota Corolla (1982),34,4,108,70,2245,16.9,1982,Japan,Toyota
Honda Civic (1982),38,4,91,67,1965,15,1982,Japan,Honda
Honda Civic (Auto),32,4,91,67,1965,15.7,1982,Japan,Honda
Datsun 310 Gx,38,4,91,67,1995,16.2,1982,Japan,Datsun
Buick Century Limited,25,6,181,110,2945,16.4,1982,USA,Buick
Oldsmobile Cutlass Ciera (Diesel),38,6,262,85,3015,17,1982,USA,Oldsmobile
Chrysler Lebaron Medallion,26,4,156,92,2585,14.5,1982,USA,Chrysler
Ford Granada L,22,6,232,112,2835,14.7,1982,USA,Ford
Toyota Celica Gt,32,4,144,96,2665,13.9,1982,Japan,Toyota
Dodge Charger 2.2,36,4,135,84,2370,13,1982,USA,Dodge
Chevrolet Camaro,27,4,151,90,2950,17.3,1982,USA,Chevrolet
Ford Mustang Gl,27,4,140,86,2790,15.6,1982,USA,Ford
Volkswagen Pickup,44,4,97,52,2130,24.6,1982,Europe,Volkswagen
Dodge Rampage,32,4,135,84,2295,11.6,1982,USA,Dodge
Ford Ranger,28,4,120,79,2625,18.6,1982,USA,Ford
Chevy S-10,31,4,119,82,2720,19.4,1982,USA,Chevy
